CMPD_CHEMBLID,MOLREGNO,PARENT_CMPD_CHEMBLID,PARENT_MOLREGNO,MOL_PREF_NAME,COMPOUND_KEY,MOLWEIGHT,ALOGP,PSA,NUM_RO5_VIOLATIONS,CANONICAL_SMILES,ACTIVITY_ID,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,PCHEMBL_VALUE,PUBLISHED_TYPE,PUBLISHED_RELATION,PUBLISHED_VALUE,PUBLISHED_UNITS,ACTIVITY_COMMENT,DATA_VALIDITY_COMMENT,POTENTIAL_DUPLICATE,BAO_ENDPOINT,UO_UNITS,QUDT_UNITS,ASSAY_ID,ASSAY_CHEMBLID,ASSAY_TYPE,DESCRIPTION,ASSAY_SRC_ID,ASSAY_SRC_DESCRIPTION,ASSAY_ORGANISM,ASSAY_STRAIN,ASSAY_TAX_ID,CURATED_BY,BAO_FORMAT,TID,TARGET_CHEMBLID,TARGET_TYPE,PROTEIN_ACCESSION,PREF_NAME,ORGANISM,CONFIDENCE_SCORE,TARGET_MAPPING,APD_NAME,APD_CONFIDENCE,DOC_ID,DOC_CHEMBLID,PUBMED_ID,JOURNAL,YEAR,VOLUME,ISSUE,FIRST_PAGE,CELL_ID,CELL_CHEMBL_ID,CELL_NAME
CHEMBL2325795,1519977,CHEMBL2325795,1519977,,12b,409.85,5.18,116.04,1,[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2cccc(c2)c3nc4ccccc4s3,12647480,T1/2,=,1,hr,,t1/2,=,1,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,941168,CHEMBL2330994,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,72218,CHEMBL2321751,23484493,J. Med. Chem.,2013,56,7,2850,,,
CHEMBL3800464,2084276,CHEMBL3800464,2084276,,60,371.39,3.57,116.04,0,[O-][N+](=O)c1cccc(c1)C(=O)NCCc2nc(cs2)c3cccc(F)c3,16561629,T1/2,=,0.45,hr,,t1/2,=,27,min,,,,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1575141,CHEMBL3804649,A,Half life in human liver microsomes at 3 uM preincubated for 5 mins followed by NADPH addition by UPLC-MS/MS analysis,1,Scientific Literature,Homo sapiens,,9606,Autocuration,,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,99160,CHEMBL3797193,27102161,Bioorg. Med. Chem.,2016,24,11,2451,,,
CHEMBL395711,384413,CHEMBL395711,384413,,3,388.38,2.78,118.51,0,[O-][N+](=O)c1ccccc1NC(=O)CCc2nnnn2c3cccc4ccccc34,1899202,T1/2,=,0.1167,hr,,t1/2,=,7,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,438711,CHEMBL889045,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,36028,CHEMBL1145353,17451954,Bioorg. Med. Chem. Lett.,2007,17,12,3362,,,
CHEMBL231538,384411,CHEMBL231538,384411,,2,390.35,2.68,127.75,0,[O-][N+](=O)c1ccccc1NC(=O)COc2nnnn2c3cccc4ccccc34,1899203,T1/2,=,0.05,hr,,t1/2,=,3,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,438711,CHEMBL889045,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,36028,CHEMBL1145353,17451954,Bioorg. Med. Chem. Lett.,2007,17,12,3362,,,
CHEMBL207900,347426,CHEMBL207900,347426,,1,406.42,3.24,143.82,0,[O-][N+](=O)c1ccccc1NC(=O)CSc2nnnn2c3cccc4ccccc34,1899158,T1/2,=,0.05,hr,,t1/2,=,3,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,438711,CHEMBL889045,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,36028,CHEMBL1145353,17451954,Bioorg. Med. Chem. Lett.,2007,17,12,3362,,,
CHEMBL246161,411340,CHEMBL246161,411340,,61,376.84,3.02,107.69,0,[O-][N+](=O)c1cnc(NCc2ccccc2Cl)nc1NCC3CCNCC3,2012816,T1/2,=,1.1,hr,,t1/2,=,66,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,453159,CHEMBL902309,A,Stability in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,37309,CHEMBL1138386,17055721,Bioorg. Med. Chem. Lett.,2007,17,1,225,,,
CHEMBL248729,417952,CHEMBL248729,417952,,1,341.36,3.72,83.79,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCCCC4,12039295,T1/2,=,0.47,hr,,t1/2,=,0.47,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL2147093,1420589,CHEMBL2147093,1420589,,6,343.33,2.49,93.02,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCOCC4,12039296,T1/2,=,2.79,hr,,t1/2,=,2.79,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL2147100,1420596,CHEMBL2147100,1420596,,18,357.32,1.52,110.09,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCOCC4=O,12039304,T1/2,=,10.03,hr,,t1/2,=,10.03,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL2147095,1420591,CHEMBL2147095,1420591,,11,359.4,3.23,109.08,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCSCC4,12039299,T1/2,=,0.21,hr,,t1/2,=,0.21,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL2147094,1420590,CHEMBL2147094,1420590,,8,361.32,2.69,93.02,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(N4CCOCC4)c(F)c3,12039298,T1/2,=,2.29,hr,,t1/2,=,2.29,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL2147102,1420598,CHEMBL2147102,1420598,,20,375.31,1.72,110.09,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(N4CCOCC4=O)c(F)c3,12039306,T1/2,=,8.31,hr,,t1/2,=,8.31,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL2147088,1420584,CHEMBL2147088,1420584,,7,344.32,1.88,105.91,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(nc3)N4CCOCC4,12039297,T1/2,=,3.37,hr,,t1/2,=,3.37,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL2147101,1420597,CHEMBL2147101,1420597,,19,358.31,0.91,122.97,0,[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(nc3)N4CCOCC4=O,12039305,T1/2,=,1.52,hr,,t1/2,=,1.52,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL579223,577677,CHEMBL579223,577677,,1,301.68,2.63,64.28,0,[O-][N+]1=C(C(=O)c2cc3OCOc3cc12)c4ccc(Cl)cc4,15048712,T1/2,<,0.01667,hr,,t1/2,<,1,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1447348,CHEMBL3379772,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,90150,CHEMBL3352368,24594524,Eur. J. Med. Chem.,2014,76,,369,,,
CHEMBL2147096,1420592,CHEMBL2147096,1420592,,12,375.4,2.12,120.07,0,[O-][S+]1CCN(CC1)c2ccc(cc2)C3CC(=NO3)c4oc(cc4)[N+](=O)[O-],12039300,T1/2,=,4.53,hr,,t1/2,=,4.53,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,848203,CHEMBL2148939,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,65341,CHEMBL2146426,22995771,Bioorg. Med. Chem.,2012,20,20,6063,,,
CHEMBL1202208,676159,CHEMBL126493,210924,,"5t (1S, 2S)",320.47,5.03,6.48,1,Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c4ccccc4)CC2)c(C)c1,293721,T1/2,=,0.2667,hr,,T1/2,=,16,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,23025,CHEMBL636918,A,Half-life determined upon exposure to human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Intermediate,BAO_0000218,50587,CHEMBL372,ORGANISM,,Homo sapiens,Homo sapiens,1,Non-molecular,,,15668,CHEMBL1133592,11052797,J. Med. Chem.,2000,43,21,3923,,,
CHEMBL3355434,1819562,CHEMBL3545989,1927835,,5,435.39,5.02,42.8,1,Br.CCN(CC)CCN1C(=N)N(CCCOc2ccc(Cl)cc2Cl)c3ccccc13,14988405,T1/2,=,0.1533,hr,,t1/2,=,9.2,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1445573,CHEMBL3371857,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,90011,CHEMBL3352394,25496770,Bioorg. Med. Chem. Lett.,2015,25,2,378,,,
CHEMBL1204116,678067,CHEMBL302075,104801,,"5m (1S, 2S)",361.31,5.38,6.48,1,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c4ccccc4)CC2)c(Cl)c1,292547,T1/2,=,0.3167,hr,,T1/2,=,19,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,23025,CHEMBL636918,A,Half-life determined upon exposure to human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Intermediate,BAO_0000218,50587,CHEMBL372,ORGANISM,,Homo sapiens,Homo sapiens,1,Non-molecular,,,15668,CHEMBL1133592,11052797,J. Med. Chem.,2000,43,21,3923,,,
CHEMBL3219283,1725671,CHEMBL3301716,1763687,,"3, HYDAMTIQ",274.34,2,80.81,0,Br.CN(C)Cc1cc2c(NC(=O)c3cccc(O)c23)s1,14542702,T1/2,=,0.5,hr,,t1/2,=,30,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1329674,CHEMBL3225214,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,81775,CHEMBL3217609,,MedChemComm,2011,2,6,559,,,
CHEMBL3235778,1734305,CHEMBL3302593,1764564,,26d,336.22,4.12,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3c(Cl)cccc13,14579310,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
CHEMBL3235781,1734308,CHEMBL3302396,1764367,,26g,315.8,3.94,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3cc(C)ccc13,14579313,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
CHEMBL3235777,1734304,CHEMBL3303100,1765071,,26c,336.22,4.12,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3cc(Cl)ccc13,14579309,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
CHEMBL3235780,1734307,CHEMBL3302942,1764913,,26f,315.8,3.94,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3ccc(C)cc13,14579312,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
CHEMBL3235776,1734303,CHEMBL3303099,1765070,,26b,336.22,4.12,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3ccc(Cl)cc13,14579308,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
CHEMBL3235779,1734306,CHEMBL3302597,1764568,,26e,315.8,3.94,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3cccc(C)c13,14579311,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
CHEMBL3235775,1734302,CHEMBL3302761,1764732,,26a,336.22,4.12,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3cccc(Cl)c13,14579307,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
CHEMBL3235767,1734293,CHEMBL3303104,1765075,,11a,301.77,3.46,39.56,0,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c3ccccc13,14579306,T1/2,>,1,hr,,t1/2,>,60,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1337347,CHEMBL3241209,A,Half life in human liver microsomes at 2 uM,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,82268,CHEMBL3232983,24675178,Eur. J. Med. Chem.,2014,78,,35,,,
